Portuguese,English
que,what
não,no
o,The
de,in
a,The
é,It is
você,you
e,It is
eu,I
um,one
para,for
está,it is
uma,one
se,if
com,with
por,per
ele,he
isso,that
em,in
do,of
me,me
mas,but
como,as
bem,good
da,from the
no,at the
os,you
ela,she
na,at
sim,Yes
aqui,here
mais,more
tem,he has
meu,my
seu,your
muito,very
foi,he was
as,to the
vai,go
sua,your
estou,I am
vamos,let's go
tudo,all
minha,my
só,only
então,then
pode,he can
agora,now
vou,I go
ser,to be
quando,when
fazer,to do
sei,know
eles,they
nós,us
tenho,I have
te,you
estava,he was
certo,right
quer,he wants
sabe,he knows
já,already
era,it was
nos,us
quem,who
ou,or
ao,to the
nada,anything
disse,he said
há,there is
lá,there
onde,where
quero,I want
bom,good
ter,to have
sou,I am
são,they are
dizer,to say
posso,I can
acho,I think
sobre,about
mim,me
porque,why
mesmo,same
coisa,thing
todos,all
estão,they are
algo,something
até,until
tempo,time
assim,like this
nunca,Never
vocês,you
esse,that
casa,House
quê,what
essa,that
à,The
ver,to see
também,also
pra,for
ainda,yet
tão,so
dos,of the
cara,face
favor,favor
ir,go
melhor,better
noite,night
sem,without
temos,we have
obrigado,thanks
dia,day
talvez,perhaps
pai,father
estamos,we are
esta,it is
deus,God
alguém,somebody
mãe,mother
vida,life
senhor,sir
este,This one
isto,this
sempre,ever
anos,years
vez,turn
verdade,true
seus,your
dele,from him
ficar,to stay
parece,looks
oh,Oh
claro,Of course
depois,after
tinha,he had
falar,to speak
coisas,things
antes,before
pessoas,people
pouco,little
pelo,for the
preciso,necessary
apenas,just
homem,man
deve,he must
nem,nor
boa,good
dois,two
fazendo,doing
todo,all
lugar,place
faz,he does
acha,he thinks
fez,he did
aí,there
fora,outside
estar,be
qual,which
disso,from that
trabalho,work
precisa,it needs
das,of
hoje,today
ninguém,nobody
novo,new
queria,I wanted
ei,Hey
comigo,with me
mundo,world
saber,to know
alguma,some
dar,to give
podemos,we can
grande,big
sinto,I feel
seja,it is
nossa,our
poderia,it could
dinheiro,money
suas,your
será,it will be
nome,name
quanto,how much
qualquer,any
pela,for the
outro,other
vá,go
lhe,him
dela,her
nosso,our
oi,hey
meus,my
desculpe,sorry
filho,son
certeza,certainty
vão,they go
hora,hour
ok,OK
outra,other
sair,to go out
toda,all
volta,return
problema,problem
obrigada,thanks
olá,hello
tipo,type
realmente,really
sabia,you knew
aconteceu,it happened
menos,any less
mulher,woman
algum,some
diga,say
falando,talking
espere,hang on
ótimo,excellent
carro,car
vezes,times
amigo,friend
primeiro,first
deveria,it should
seria,he would be
venha,come
três,three
entre,in between
daqui,from here
sério,serious
diz,it says
voltar,to go back
ah,ah
parte,part
amor,love
feliz,happy
às,to the
viu,it saw
embora,although
família,family
olhe,look
deixar,to leave
atrás,back
tenha,you have
faça,do
pensei,I thought
ajudar,to help
todas,all
olha,look
aquele,that one
duas,two
querida,dear
frente,front
vi,saw
indo,going
alguns,some
dias,days
fui,I went
vem,he comes
lado,side
podem,they can
fiz,I did
merda,Shit
nas,in the
pare,Stop
tarde,afternoon
gosto,I like
precisamos,we need
caso,case
fique,stay
dentro,inside
cidade,city
momento,time
pegar,to take
foram,they were
nenhum,none
gente,people
somos,are
amanhã,tomorrow
fosse,were
cabeça,head
gostaria,I would like
amigos,friends
mal,bad
enquanto,while
homens,men
logo,soon
deles,from them
desde,since
tanto,so much
garota,girl
pessoa,person
legal,Cool
amo,I love
rápido,fast
algumas,some
cada,each
jeito,way
tentando,trying
meio,quite
outros,others
têm,he has
medo,fear
minhas,my
importa,it matters
irmão,brother
errado,wrong
história,history
primeira,first
quase,almost
horas,hours
encontrar,meet
nova,new
essas,these
pessoal,guys
dá,from the
difícil,difficult
forma,form
contra,against
matar,to kill
semana,week
dizendo,say
perto,close
demais,too much
entrar,to enter
esses,those
deu,it gave
achei,I thought
deixe,leave
vejo,I see
polícia,police
espero,I expect
sido,has been
juntos,together
ajuda,help
ano,year
caminho,path
nisso,in that
elas,they
quiser,he wants
crianças,children
manhã,morning
for,either
aquela,that one
sorte,luck
morte,death
pensar,think
papai,daddy
aos,to the
ali,there
veja,look
fica,he is
teve,he had
quarto,room
levar,to take
filha,daughter
feito,done
minutos,minutes
morto,dead
porta,door
tive,I had
entendo,I understand
cima,top
acabou,he finished
tá,OK
chegar,to arrive
num,on one
veio,he came
água,water
mesma,same
dê,in
significa,means
teria,it would have
pronto,ready
esposa,wife
vir,come over
acredito,I believe
ouvir,to hear
gosta,he likes
morrer,to die
nossos,ours
olhos,eyes
garoto,boy
última,last
coração,heart
contar,tell
importante,important
jogo,game
acontecendo,happening
razão,reason
mãos,hands
devo,owe
ideia,idea
consigo,with you
idiota,idiot
passar,to spend
havia,there was
problemas,problems
parar,to stop
senhora,madam
fim,end
corpo,body
chefe,boss
poder,power
mamãe,mommy
ia,ia
cuidado,Careful
começar,to start
espera,wait
ficou,it was left
conta,account
exatamente,exactly
arma,weapon
longe,far away
escola,school
tentar,to try
pois,then
terra,Earth
droga,damn it
ontem,yesterday
pensando,thinking
única,only
devia,should
sendo,being
causa,cause
guerra,war
chance,chance
usar,to use
marido,husband
mão,hand
tal,such
numa,in
trabalhar,to work
sangue,blood
música,music
esperar,wait
querem,want
uns,some
nenhuma,none
tivesse,have
digo,I say
estranho,strange
maior,bigger
velho,old
faço,I make
boca,mouth
houve,there was
festa,party
estavam,they were
fala,he speaks
mulheres,women
conhece,do you know
ouvi,I heard
tirar,to throw
esperando,waiting
podia,could
licença,license
capitão,captain
preocupe,worry
comer,eat
fácil,easy
deixa,he leaves
novamente,again
além,in addition
irmã,sister
meses,months
eram,they were
suficiente,enough
pais,country
segundo,second
sabemos,We know
muitas,lots of
cinco,five
bebê,baby
matou,killed
querido,Dear
muita,many
idéia,idea
saia,skirt
muitos,many
número,number
vê,bum
deixou,he left
conseguir,get
lembra,remember
dessa,of that
morreu,he died
tomar,to take
the,The
bastante,quite
neste,in this
maneira,manner
quatro,four
filhos,children
acontecer,to happen
criança,child
dormir,to sleep
durante,during
possa,be likely to
desse,of that
vindo,coming
certa,certain
café,coffee
possível,possible
casamento,marriage
irá,will
acordo,agreement
quis,wanted
equipe,team
conheço,I know
ruim,bad
culpa,fault
jantar,to have lunch
provavelmente,probably
consegue,it achieves
telefone,telephone
esteja,is
mil,thousand
i,I
forte,strong
sentir,to feel
viver,to live
chegou,it arrived
diferente,different
sozinho,alone
prazer,pleasure
pergunta,question
procurando,looking for
iria,I would go
terá,will have
conseguiu,it achieved
outras,others
final,Final
minuto,minute
sala,living room
chega,he arrives
único,single
nossas,our
falta,lack
desta,of this
aquilo,that one
incrível,incredible
devemos,we must
direito,right
nessa,in that
vivo,alive
mudar,to change
faria,would make
porra,Cum
perder,lose
falou,he spoke
segurança,security
pagar,pay
plano,flat
descobrir,discover
conversar,to talk
achar,to think
próxima,next
sabem,They know
comida,food
pegue,take it
diabos,hell
trás,back
jovem,young
trouxe,he brought
acreditar,to believe
olhar,to look
cama,bed
ponto,point
passado,past
pena,pity
colocar,to place
tchau,goodbye
nesse,in that
fale,speak
ouça,listen
nele,in him
calma,calm
filme,film
pedir,ask
paz,peace
sente,feel
louco,crazy
palavra,word
cá,here
pequeno,small
john,John
caras,faces
ouviu,he heard
próximo,next
médico,doctor
pensa,thought
ligar,to connect
pior,worse
força,strength
mostrar,Show
país,country
acontece,it happens
fogo,fire
entende,he understands
baixo,low
sob,under
acabar,to finish
continuar,Continue
estiver,you are
lembro,I remember
dizem,They say
srta,MS
vendo,seeing
luz,light
jogar,to play
livro,book
adeus,goodbye
perguntar,to ask
existe,exist
manter,to maintain
fazem,do
cedo,early
querer,to want
desculpa,sorry
jack,jack
semanas,weeks
vim,I came
estes,these
começou,it started
hospital,hospital
atenção,attention
seis,six
linda,beautiful
último,last
chamar,to call
escritório,desk
rei,king
falei,I spoke
estávamos,we were
especial,Special
comprar,purchase
após,after
resto,rest
fiquei,I was left
alô,hello
saiu,it went out
ganhar,to win
controle,control
fico,I am
brincando,joking
volte,come back
si,si
nesta,in this
garotas,girls
queremos,we want
presidente,chairman
pegou,he picked up
real,real
devem,must
aonde,to where
precisar,to need
negócio,business
doutor,doctor
esteve,was
encontro,meeting
pelos,by the
escute,Listen
finalmente,finally
estado,state
pé,foot
cuidar,to care
ama,love
armas,weapon
rua,road
sam,sam
aqueles,those ones
umas,some
dólares,dollars
fato,fact
sentido,sense
pequena,small
prisão,prison
casar,to marry
trabalhando,working
escolha,choice
puta,bitch
amiga,friend
sozinha,alone
próprio,own
cabelo,hair
deste,of this
estivesse,it was
engraçado,funny
policial,police officer
ai,there
perfeito,perfect
passou,it happened
alto,high
palavras,words
livre,free
mente,mind
s,s
seguro,safe
menina,girl
própria,own
bonito,beautiful
futuro,future
pro,pro
entendi,I understood
esqueça,forget
respeito,respect
tio,uncle
entender,to understand
uh,uh
estará,will be
visto,visa
estas,these
agente,agent
sinal,signal
grupo,group
andar,to walk
presente,gift
milhões,millions
rosto,face
mesa,table
dor,pain
foto,Photograph
preso,stuck
leve,light
partir,leave
consegui,I achieved
sexo,sex
voz,voice
assassino,assassin
pense,think
chamado,called
daí,so
sai,leaves
pediu,he requested
jesus,Jesus
situação,situation
olhando,looking
perdeu,it lost
you,you
ar,air
tom,tone
voltou,it returned
grandes,big ones
modo,mode
viagem,trip
sistema,system
rapazes,boys
simples,simple
linha,line
achou,he thought
entendeu,did you understand
estive,I have been
salvar,to save
boas,good
conhecer,to know
estaria,it would be
emprego,job
chama,flame
bonita,beautiful
conosco,with us
melhores,best
dez,ten
mensagem,message
michael,Michael
contou,said
idade,age
crime,crime
questão,question
trazer,to bring
usando,using
local,local
simplesmente,simply
lindo,beautiful
tente,try
encontrei,I found
ficará,will be
acredita,belief
levou,he took
precisam,need
farei,I will do
doente,sick
natal,Christmas
professor,teacher
odeio,I hate
rapaz,boy
motivo,reason
disseram,They said
fizeram,made
seguir,follow
ótima,excellent
programa,program
campo,field
normal,normal
continue,continues
vontade,willing
graças,grace
menino,boy
chão,floor
sol,Sun
hey,hey
soube,knew
acabei,I finished
perguntas,questions
surpresa,surprise
lista,list
sonho,dream
olho,eye
terminar,finish
irei,I will go
resposta,response
beber,to drink
ordem,order
encontrou,it found
senhores,sirs
peguei,I got
hotel,Hotel
caixa,box
quente,warm
povo,people
acidente,accident
erro,error
precisava,needed
diria,would say
advogado,attorney
us,US
mortos,dead
aniversário,birthday
joe,Joe
inferno,hell
ataque,attack
david,David
charlie,Charlie
vale,OK
frank,Frank
fotos,Photos
show,show
abrir,Open
parabéns,congratulations
fome,hunger
voce,you
tiver,have
ficando,staying
totalmente,totally
morta,dead
loja,store
naquela,at that
energia,energy
conversa,conversation
pelas,by
espaço,space
serviço,service
monte,hill
assassinato,murder
lei,law
negócios,business
banco,Bank
reunião,meeting
estarei,I will be
completamente,completely
george,George
divertido,funny
ligou,CALLED
segunda,second
perdi,I lost
fundo,bottom
lutar,to fight
pudesse,could
explicar,explain
fomos,we were
tome,take
notícias,News
céu,sky
trabalha,it works
exército,army
mês,month
mike,Mike
parecia,it
passa,raisin
fará,will make
continua,to be continued
dei,Dei
tire,remove
olhada,look
tivemos,we had
carta,Letter
lembrar,to remember
roupas,clothes
contato,contact
detetive,detective
passada,last
fizemos,We did
papel,paper
área,area
governo,government
abra,open it
interessante,interesting
horrível,horrible
luta,fight
ben,Ben
dando,giving
beleza,beauty
certamente,Certainly
apartamento,apartment
banheiro,bathroom
mudou,changed
capaz,able
metade,half
penso,perse
funciona,it works
tentei,I tried
procurar,to search for
tradução,translation
velha,old
triste,sad
prometo,promise
prova,proof
barco,boat
bons,Good
tentou,tried
hein,huh
quantos,how many
senti,feeling
decisão,decision
tenente,lieutenant
bebida,drink
teremos,we will have
tv,TV
através,through
conselho,advice
avião,plane
juro,interest
saindo,leaving
ler,to read
nela,in it
tocar,touch
breve,short
pronta,ready
ligue,call
frio,cold
bar,Pub
anda,ride
missão,mission
chave,key
lamento,am sorry
tinham,had
impossível,impossible
peça,part
igreja,church
namorado,boyfriend
terrível,terrible
maravilhoso,wonderful
namorada,girlfriend
haver,be
maioria,majority
tendo,having
segredo,secret
leva,he takes
verdadeiro,TRUE
viva,alive
naquele,in that
saiba,know
roupa,clothing
sete,seven
vítima,victim
drogas,drug
nave,nave
assunto,subject
mandou,Manda
imediatamente,immediately
diferentes,many different
ajude,help
cair,to fall
tu,you
fazemos,We do
ouro,gold
loucura,craziness
time,team
vidas,lives
pobre,poor
ouvindo,listening
mar,sea
né,huh
faremos,we will do
puder,can
vista,View
começa,start
alma,soul
aposto,bet
desses,of these
fazia,made
paul,Paul
general,general
mestre,teacher
adoro,I adore
senhorita,miss
celular,cell phone
oficial,official
cavalo,horse
companhia,company
somente,only